"identifiant","nature_contrat","localisation_emploi","region_emploi","entreprise_groupe","groupe","intitule_emploi","remuneration_annuelle_brute","prime","remuneration_prime","taille_entreprise_premier_emploi","secteur_premiere_entreprise","status_cadre_premier_emploi","nom_entreprise_premier_emploi"
1767472951760580,"","","","","","",NA,"",NA,"De 20 à 49 salarié(e)s ","Énergie (Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné)","Oui","Luxel"
1782649831753210,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Provence-Alpes-Côte d'Azur","Non","","Ingénieur études photovoltaique",32500,"Oui",35000,"","","",""
1794779518200290,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Oui","Bouygues ","Responble technique realisation",38000,"Oui",40000,"","","",""
1783679026895520,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Oui","SNCF","Attaché Cadre Service Eléctrique Maintenance et Travaux",26000,"Oui",30000,"","","",""
1889196166142850,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Île-de-France","Oui","Habitat et Territoires Conseil","Consultant",30000,"Oui",30000,"","","",""
1783551791493310,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Île-de-France","Oui","Groupe thétis","Ingénieur de projet",35000,"Non",35000,"","","",""
1776106803647000,"CDI (contrat de travail à durée indéterminée) y compris CDIC","A l'étranger","","Oui","PlasticOmnium","Ingénieur développement ",47000,"Oui",51000,"","","",""
1776019459092900,"","","","","","",NA,"",NA,"De 20 à 49 salarié(e)s ","Autres activités spécialisées, scientifiques et techniques","Non","Shotover camera systems"
1769007981249560,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Île-de-France","Oui","BTP Consultants","Responsable de mission",31200,"Oui",33300,"","","",""
1899292521893160,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Île-de-France","Oui","GIS MIC","Inspecteur essais mécaniques ",34000,"Oui",34000,"","","",""
1768183605485420,"CDI (contrat de travail à durée indéterminée) y compris CDIC","A l'étranger","","Non","","Country manager - project engineer",30000,"Non",30000,"","","",""
1776167203832290,"","","","","","",NA,"",NA,"","","",""
1767911676181750,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Pays de la Loire","Oui","CGI","Ingénieur des technologies de l'information",29500,"Oui",31000,"","","",""
1788516703736650,"","","","","","",NA,"",NA,"250 à  4 999 salarié(e)s ","Télécommunications","Oui","Business & Decision"
1783101037010870,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Auvergne-Rhône-Alpes","Non","","Responsable Recrutement ",34100,"Oui",35000,"","","",""
1798760223232460,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Île-de-France","Non","","Digital Markering Consultant",40000,"Non",40000,"","","",""
1788692464408060,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Auvergne-Rhône-Alpes","Non","","Ingenieur développement ",33700,"Oui",34000,"","","",""
1782332406941580,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Oui","CGI","Ingénieur en technologie de l'informatique",30000,"Oui",34000,"","","",""
1782520390078810,"","","","","","",NA,"",NA,"","Agriculture, sylviculture et pêche ","Non",""
1783049615948640,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Non","","Senior Engineer",33960,"Oui",38290,"","","",""
1783303729803930,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Île-de-France","Oui","Safran Group","Software Engineer",40000,"Oui",40000,"","","",""
1789034154590610,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Pays de la Loire","Non","","Business Analyst",35500,"Oui",39000,"5 000 salarié(e)s ou plus","Industrie des technologies de l'Information et de la Communication (TIC)","Oui",""
1968316585347690,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Oui","","",30000,"Oui",31000,"","","",""
1767833505076640,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Auvergne-Rhône-Alpes","Non","","Ingénieur études",34375,"Non",34375,"","","",""
1789138953630590,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Île-de-France","Oui","Safran","Ingénieur calcul de performances avion",30920,"Oui",37000,"","","",""
1789471904307210,"","","","","","",NA,"",NA,"","","",""
1788913345952660,"","","","","","",NA,"",NA,"","Enseignement, recherche","Oui","Education Nationnale"
1782520393975250,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Île-de-France","Non","","Ingénieur Chargé d'affaires",36000,"Oui",36500,"","","",""
1783298117244180,"","","","","","",NA,"",NA,"","","",""
